,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
68,Lensk,RU,60.73,114.93,-14.1,84,32,8.97
69,Ostrovnoy,RU,68.05,39.51,7.64,88,8,3.04
70,Pevek,RU,69.7,170.31,7.15,93,56,7.85
71,Sao Filipe,CV,14.9,-24.5,77.57,98,76,9.64
72,Oskarshamn,SE,57.26,16.45,39.2,93,68,11.41
73,Saint-Junien,FR,45.88,0.9,42.8,93,90,11.41
74,Butaritari,KI,3.07,172.79,83.06,100,48,5.84
75,Aklavik,CA,68.22,-135.01,-11.21,83,90,6.51
76,Provideniya,RU,64.38,-173.3,30.01,100,76,5.84
77,Trondheim,NO,63.43,10.4,35.6,59,0,3.36
78,Oktyabrskiy,RU,54.48,53.47,28.88,93,80,7.07
79,Bengkulu,ID,-3.8,102.27,75.46,100,92,3.38
80,Bluff,NZ,-46.6,168.33,54.35,97,0,8.19
81,Sorland,NO,67.67,12.69,43.01,100,92,12.77
82,Loa Janan,ID,-0.58,117.09,76.17,95,68,3.38
83,Albany,AU,-35.02,117.89,66.14,87,8,4.05
84,Ribeira Grande,PT,38.52,-28.7,66.2,77,75,12.75
85,Qaanaaq,GL,77.48,-69.36,-3.88,100,44,8.75
86,Kerema,PG,-7.96,145.78,79.15,91,76,2.37
87,Severodvinsk,RU,64.56,39.83,30.2,100,90,6.71
88,Cabo San Lucas,MX,22.89,-109.91,86.0,51,5,8.05
89,Carnarvon,AU,-24.87,113.63,70.77,97,36,12.66
90,Talnakh,RU,69.49,88.4,-27.51,86,20,2.71
91,Anadyr,RU,64.75,177.48,30.2,92,90,24.61
92,Canavieiras,BR,-15.68,-38.95,73.16,92,32,5.5
93,Vardo,NO,70.37,31.11,28.4,100,75,5.82
94,Tainan,TW,22.99,120.21,77.0,83,75,9.42
95,Bilma,NE,18.69,12.92,57.72,29,0,7.63
96,Maine-Soroa,NE,13.21,12.02,75.01,26,0,10.09
97,Cape Town,ZA,-33.93,18.42,60.8,77,0,10.29
98,Husavik,IS,66.04,-17.34,33.8,74,75,14.99
99,Luderitz,NA,-26.65,15.16,66.2,42,0,14.99
100,Atuona,PF,-9.8,-139.03,80.63,100,8,16.02
101,Katsuura,JP,35.13,140.3,59.0,62,75,2.24
102,Taoudenni,ML,22.68,-3.98,55.75,23,64,9.08
103,Terrak,NO,65.09,12.37,37.4,96,92,14.99
104,Hithadhoo,MV,-0.6,73.08,79.91,100,68,8.08
105,Matagami,CA,49.75,-77.63,12.2,92,90,5.82
106,Lebu,CL,-37.62,-73.65,53.81,100,8,21.72
107,Iralaya,HN,15.0,-83.23,79.37,84,100,11.88
108,Lady Lake,US,28.92,-81.92,69.8,56,8,6.96
109,Callaway,US,30.15,-85.57,64.4,72,1,3.36
110,Coihaique,CL,-45.58,-72.07,53.6,52,20,5.82
111,Gizo,SB,-8.1,156.84,84.32,100,32,1.36
112,Mount Gambier,AU,-37.83,140.77,70.37,73,0,3.71
113,Bethel,US,41.37,-73.41,44.6,30,1,9.17
114,Ayagoz,KZ,47.97,80.44,6.42,67,32,3.38
115,Torbay,CA,47.67,-52.73,35.6,100,90,11.41
116,Kodiak,US,57.79,-152.41,39.2,48,1,24.16
117,Bredasdorp,ZA,-34.53,20.04,53.6,87,76,4.7
118,San Patricio,MX,19.22,-104.7,86.0,74,20,11.41
119,Kindu,CD,-2.95,25.95,68.3,100,92,1.81
120,Tahoua,NE,14.89,5.27,69.56,54,0,4.72
121,Ponto Novo,BR,-10.86,-40.13,74.78,57,68,8.41
122,Labytnangi,RU,66.66,66.42,18.71,84,92,3.38
123,Manjo,CM,4.84,9.82,67.9,100,76,2.93
124,Malegaon,IN,20.55,74.53,58.94,66,0,4.38
125,Georgetown,SH,-7.93,-14.42,74.82,100,92,15.23
126,Lavrentiya,RU,65.58,-171.0,22.62,100,32,1.7
127,Greensburg,US,40.3,-79.54,39.2,69,5,3.71
128,Laguna,BR,-28.48,-48.78,69.65,97,92,10.87
129,Powell River,CA,49.85,-124.54,44.6,87,90,2.24
130,Port Blair,IN,11.67,92.75,83.42,100,76,8.52
131,Beloretsk,RU,53.96,58.4,28.4,68,75,20.13
132,San Jose,PH,12.35,121.07,75.59,96,80,3.27
133,Sola,VU,-13.88,167.55,80.72,100,80,10.76
134,Adiake,CI,5.29,-3.3,80.6,88,40,4.7
135,Malatya,TR,38.5,38.0,33.8,66,0,4.7
136,New Norfolk,AU,-42.78,147.06,71.6,53,40,6.93
137,Saldanha,ZA,-33.01,17.94,57.2,82,0,6.93
138,Saint-Augustin,CA,51.23,-58.65,35.95,100,92,32.01
139,Katherine,AU,-14.47,132.27,80.6,78,44,1.12
140,Sloboda,UA,51.2,33.61,33.16,94,92,8.86
141,Kaura Namoda,NG,12.59,6.58,69.74,64,0,2.93
142,Faanui,PF,-16.48,-151.75,78.61,100,76,22.39
143,San Felipe,MX,21.48,-101.22,80.6,10,5,5.82
144,Jasper,CA,52.88,-118.09,16.55,61,36,1.92
145,Thompson,CA,55.74,-97.86,10.4,78,90,9.17
146,Sur,OM,22.57,59.53,73.61,100,0,2.37
147,Chkalovskoye,RU,44.84,133.04,4.58,78,48,6.4
148,Richards Bay,ZA,-28.78,32.04,55.52,98,8,3.15
149,Havre-Saint-Pierre,CA,50.23,-63.6,32.0,84,90,18.34
150,Lafiagi,NG,8.87,5.42,80.86,67,12,10.31
151,Tiarei,PF,-17.53,-149.33,86.0,62,75,6.93
152,Matay,EG,28.42,30.78,51.61,85,64,3.38
153,Sao Joao da Barra,BR,-21.64,-41.05,78.8,65,0,16.11
154,Bilibino,RU,68.05,166.44,3.55,87,80,3.6
155,Kaeo,NZ,-35.1,173.78,57.77,87,100,27.09
156,Honiara,SB,-9.43,159.95,87.8,70,75,5.82
157,Marawi,SD,18.48,31.82,65.96,49,0,3.6
158,Storm Lake,US,42.64,-95.21,50.0,93,90,3.04
159,Sassandra,CI,4.95,-6.08,69.8,94,20,4.7
160,Clyde River,CA,70.47,-68.59,-18.41,68,40,4.7
161,Alice Springs,AU,-23.7,133.88,82.4,32,0,8.05
162,Luwingu,ZM,-10.26,29.93,70.19,28,48,5.84
163,Dhidhdhoo,MV,6.88,73.1,81.98,100,0,5.84
164,Pangkalanbuun,ID,-2.68,111.62,76.67,95,36,4.16
165,Vaini,TO,-21.2,-175.2,82.4,78,40,11.41
166,Srednekolymsk,RU,67.45,153.68,-6.18,86,80,3.38
167,Fort Nelson,CA,58.81,-122.7,-2.21,77,75,2.37
168,Maldonado,UY,-34.9,-54.95,62.6,77,75,6.93
169,Matara,LK,5.95,80.54,76.13,100,0,3.71
170,Aquiraz,BR,-3.9,-38.39,80.6,74,40,8.05
171,Ossora,RU,59.24,163.07,35.63,95,80,14.45
172,Baghdad,IQ,33.34,44.4,53.6,66,0,1.12
173,Kuzhener,RU,56.81,48.91,29.51,94,80,10.76
174,Kozhevnikovo,RU,56.26,83.97,28.61,95,92,8.75
175,Solnechnyy,RU,50.72,136.63,-3.79,64,68,2.82
176,Saskylakh,RU,71.92,114.08,8.5,81,88,8.86
177,Yulara,AU,-25.24,130.99,82.4,34,0,9.17
178,Ancud,CL,-41.87,-73.82,49.58,68,48,5.95
179,Magadan,RU,59.57,150.8,-11.21,83,48,15.68
180,Marsa Matruh,EG,31.35,27.25,57.2,93,0,5.82
181,Lakes Entrance,AU,-37.88,147.98,71.05,71,36,11.43
182,Golcuv Jenikov,CZ,49.82,15.48,37.4,99,20,3.36
183,Puerto Ayora,EC,-0.74,-90.35,73.4,69,75,14.99
184,Ilulissat,GL,69.22,-51.1,8.6,50,0,8.05
185,Chuy,UY,-33.7,-53.46,64.21,71,36,8.75
186,San,ML,13.3,-4.9,72.12,34,0,9.86
187,Gallipoli,IT,40.06,18.0,59.0,100,90,17.22
188,Vostok,RU,46.49,135.88,3.91,76,68,2.71
189,Souillac,MU,-20.52,57.52,75.2,94,75,6.93
190,Fairbanks,US,64.84,-147.72,10.4,92,20,2.82
191,Norman Wells,CA,65.28,-126.83,-5.81,83,75,2.24
192,Barrow,US,71.29,-156.79,12.2,85,90,6.93
193,Sept-Iles,CA,50.2,-66.38,32.0,79,90,13.87
194,Ketchikan,US,55.34,-131.65,41.0,93,90,24.16
195,Diffa,NE,13.32,12.61,74.11,26,0,10.65
196,Coquimbo,CL,-29.95,-71.34,59.66,95,0,6.51
197,Ugoofaaru,MV,5.67,73.0,82.3,100,88,6.73
198,Sa Kaeo,TH,13.81,102.07,74.82,93,8,3.38
199,Viedma,AR,-40.81,-63.0,52.77,50,44,21.05
200,Tiksi,RU,71.69,128.87,10.43,86,68,12.44
201,Guerrero Negro,MX,27.98,-114.06,71.86,63,12,8.08
202,Ulety,RU,51.36,112.48,4.58,62,64,9.19
203,Tilichiki,RU,60.47,166.1,35.81,100,88,12.21
204,Izhma,RU,65.01,53.91,22.62,89,80,3.6
205,Fortuna,US,40.6,-124.16,53.6,66,1,9.17
206,Shingu,JP,33.73,135.98,53.6,93,75,4.7
207,Bowen,AU,-20.02,148.23,77.0,73,75,10.29
208,Astana,KZ,51.18,71.45,30.2,92,0,17.9
209,Brigantine,US,39.41,-74.36,42.8,52,1,5.82
210,Axim,GH,4.87,-2.24,80.45,100,80,9.98
211,Bousso,TD,10.48,16.71,79.1,22,8,9.75
212,Tuburan,PH,6.64,122.27,77.0,94,20,11.65
213,Challans,FR,46.84,-1.87,44.6,87,0,9.17
214,Plavinas,LV,56.62,25.73,36.89,94,76,7.74
215,Mount Isa,AU,-20.73,139.5,87.8,15,0,11.41
216,Paamiut,GL,61.99,-49.67,30.55,100,88,10.42
217,Kushiro,JP,42.98,144.37,44.6,87,75,34.45
218,Praia,CV,14.92,-23.51,77.0,73,20,8.05
219,Lakatoro,VU,-16.1,167.42,81.31,81,76,7.29
220,Quesnel,CA,53.0,-122.5,24.8,92,90,4.7
221,Brazzaville,CG,-4.27,15.28,77.0,78,75,2.24
222,Uray,RU,60.12,64.78,22.94,89,88,3.94
223,Mandera,KE,3.94,41.87,64.75,44,0,2.71
224,Isangel,VU,-19.55,169.27,74.65,100,20,12.55
225,Humaita,BR,-7.51,-63.02,83.51,74,32,1.03
226,Chokurdakh,RU,70.63,147.92,-13.38,62,8,2.82
227,Kupang,ID,-10.17,123.58,82.4,78,20,8.05
228,Krasnyy Oktyabr,RU,56.12,38.88,34.01,90,88,15.9
229,Arinos,BR,-15.92,-46.11,73.16,83,80,5.17
230,Chicama,PE,-7.84,-79.15,64.4,88,40,8.05
231,Innisfail,AU,-17.53,146.03,75.32,75,64,3.6
232,Black River,JM,18.03,-77.85,82.4,74,75,9.17
233,Touros,BR,-5.2,-35.46,77.3,87,32,12.66
234,Evensk,RU,61.95,159.23,34.64,98,92,4.38
235,Hamilton,BM,32.29,-64.78,69.8,60,40,17.22
236,Camana,PE,-16.62,-72.71,60.56,100,0,5.39
237,Upernavik,GL,72.79,-56.15,17.22,100,48,13.11
238,Saint George,BM,32.38,-64.68,69.8,60,40,17.22
239,Tual,ID,-5.67,132.75,81.53,100,36,8.3
240,Taseyevo,RU,57.22,94.9,17.86,86,80,5.39
241,Bayanday,RU,53.07,105.51,1.03,67,80,2.59
242,Okha,RU,53.57,142.95,12.55,100,44,11.65
243,Vila Franca do Campo,PT,37.72,-25.43,66.2,88,40,4.7
244,Poya,NC,-21.35,165.15,72.76,99,20,15.23
245,Port Augusta,AU,-32.5,137.77,66.2,68,75,8.05
246,Poronaysk,RU,49.22,143.12,19.79,100,12,8.75
247,Cockburn Town,BS,24.03,-74.52,76.58,100,56,21.72
248,Morondava,MG,-20.28,44.28,78.25,88,32,6.17
249,Amarante do Maranhao,BR,-5.57,-46.74,74.37,88,88,3.27
250,Tokur,RU,53.13,132.9,-18.19,72,44,2.15
251,Karlskrona,SE,56.16,15.59,41.0,86,92,9.17
252,Meulaboh,ID,4.14,96.13,78.11,100,80,3.94
253,Kahului,US,20.89,-156.47,82.4,54,40,13.87
254,Kangaatsiaq,GL,68.31,-53.46,11.78,100,0,10.2
255,Babu,CN,24.42,111.52,54.57,100,100,6.73
256,Lorengau,PG,-2.02,147.27,84.2,79,75,5.61
257,Namibe,AO,-15.2,12.15,70.15,100,0,2.93
258,Abeche,TD,13.83,20.83,70.1,29,0,7.4
259,Windhoek,NA,-22.56,17.08,66.2,17,0,6.93
260,Narsaq,GL,60.92,-46.05,19.4,52,36,3.36
261,Victoria,SC,-4.62,55.45,77.0,88,20,2.24
262,Kiunga,PG,-6.12,141.29,81.71,85,36,2.93
263,Cairns,AU,-16.92,145.77,82.4,65,20,10.29
264,Chifeng,CN,42.27,118.96,8.86,46,0,5.95
265,Bubaque,GW,11.28,-15.83,78.8,78,0,5.82
266,Reconquista,AR,-29.15,-59.65,69.56,59,0,6.06
267,Ndele,CF,8.41,20.65,76.76,62,56,4.61
268,Kang,BW,-23.68,22.79,48.5,48,0,3.38
269,Oranjestad,AW,12.52,-70.03,80.6,88,20,2.24
270,Egvekinot,RU,66.32,-179.17,5.52,72,64,2.37
271,Rudnaya Pristan,RU,44.36,135.81,15.16,63,68,10.2
272,Rio Grande,BR,-32.03,-52.1,67.9,88,20,13.44
273,Ukiah,US,39.15,-123.21,60.8,41,1,2.04
274,Los Llanos de Aridane,ES,28.66,-17.92,68.0,72,0,6.93
275,Verkhoyansk,RU,67.54,133.38,-16.21,69,56,3.38
276,Bathsheba,BB,13.22,-59.52,80.6,88,20,8.05
277,Alta Floresta,BR,-9.88,-56.09,76.22,95,32,1.92
278,Maragogi,BR,-9.01,-35.22,75.86,87,92,5.95
279,Nishihara,JP,26.18,127.76,77.0,94,75,13.87
280,Kargasok,RU,59.06,80.86,29.56,91,80,6.29
281,Inta,RU,66.03,60.17,18.8,92,56,2.37
282,Ano Mera,GR,37.45,25.4,60.8,82,32,1.12
283,Luganville,VU,-15.53,167.17,80.54,99,32,11.43
284,Chato,TZ,-2.64,31.77,68.03,95,44,5.5
285,Vaitape,PF,-16.52,-151.75,79.64,100,64,22.84
286,Puerto Rico,CO,1.91,-75.14,75.91,92,36,1.92
287,Port Lincoln,AU,-34.73,135.87,64.25,88,8,5.84
288,Buchanan,LR,5.88,-10.05,77.0,94,75,8.08
289,Cacule,BR,-14.5,-42.22,71.9,77,12,11.54
290,Dwarka,IN,22.24,68.97,72.85,100,0,17.47
291,Shimoda,JP,34.67,138.95,61.01,100,92,15.01
292,Pangoa,PE,-12.12,-73.0,67.76,95,24,2.04
293,Grand Gaube,MU,-20.01,57.66,75.2,94,75,6.93
294,Boyabat,TR,41.47,34.77,30.32,81,8,2.15
295,Bay Roberts,CA,47.6,-53.26,35.6,100,90,11.41
296,Beira,MZ,-19.84,34.84,75.2,83,40,6.93
297,Beloha,MG,-25.17,45.05,67.04,93,56,3.71
298,Astoria,US,46.19,-123.83,51.8,66,90,8.05
299,Arman,RU,59.7,150.17,-11.21,83,76,3.94
300,Inuvik,CA,68.35,-133.72,-11.21,68,75,3.49
301,Sao Raimundo Nonato,BR,-9.02,-42.7,78.47,49,56,5.06
302,Kruisfontein,ZA,-34.0,24.73,54.98,95,0,8.41
303,Matamoros,MX,25.53,-103.25,87.8,16,5,6.93
304,Greytown,ZA,-29.06,30.59,40.81,92,0,1.92
305,Vangaindrano,MG,-23.35,47.6,68.3,100,92,2.71
306,Pangnirtung,CA,66.15,-65.71,-0.41,59,20,9.17
307,Qaqortoq,GL,60.72,-46.03,19.4,52,0,3.36
308,Hambantota,LK,6.12,81.12,78.56,100,0,4.16
309,Yumen,CN,40.28,97.2,16.91,89,68,3.94
310,Matias Barbosa,BR,-21.87,-43.32,72.17,61,44,3.71
311,Klaksvik,FO,62.23,-6.59,39.2,60,68,40.26
312,Giyani,ZA,-23.3,30.72,57.1,76,0,3.04
313,Carutapera,BR,-1.2,-46.02,79.46,80,44,10.98
314,Tautira,PF,-17.73,-149.15,86.0,62,75,6.93
315,Port Hardy,CA,50.7,-127.42,42.8,81,90,6.93
316,Tarboro,US,35.9,-77.54,42.8,81,1,2.71
317,Montepuez,MZ,-13.13,39.0,74.6,67,0,6.4
318,Aykhal,RU,66.0,111.5,-10.41,68,68,5.95
319,Hasaki,JP,35.73,140.83,44.6,87,90,3.36
320,Nantong,CN,32.03,120.87,51.74,89,32,20.83
321,Geraldton,AU,-28.77,114.6,66.2,77,75,10.29
322,Xiantao,CN,30.38,113.4,41.75,67,76,20.38
323,Alofi,NU,-19.06,-169.92,84.2,70,90,12.75
324,Ilhabela,BR,-23.78,-45.36,71.67,100,56,14.79
325,Lazaro Cardenas,MX,17.96,-102.2,80.27,93,80,5.61
326,Daru,PG,-9.08,143.21,78.92,100,88,7.29
327,Birao,CF,10.28,22.79,82.47,45,64,7.07
328,Margate,ZA,-30.86,30.37,60.29,98,0,7.07
329,Gbadolite,CD,4.28,21.02,73.75,92,36,3.6
330,Maralal,KE,1.1,36.7,53.67,84,8,4.27
331,Bambous Virieux,MU,-20.34,57.76,75.2,94,75,6.93
332,Salamanca,CL,-31.77,-70.97,49.85,66,0,1.25
333,Ca Mau,VN,9.18,105.15,79.1,98,44,3.94
334,Bull Savanna,JM,17.89,-77.59,75.32,78,24,6.29
335,Orange Cove,US,36.62,-119.31,66.2,48,1,5.82
336,Zaraza,VE,9.35,-65.32,82.43,72,0,11.32
337,Rawson,AR,-43.3,-65.1,51.92,84,0,28.54
338,Denpasar,ID,-8.65,115.22,78.8,88,20,3.36
339,Izumo,JP,35.37,132.77,51.8,100,75,8.05
340,Palmer,US,42.16,-72.33,39.2,47,1,6.93
341,Morros,BR,-9.45,-46.3,76.17,77,80,5.73
342,Usinsk,RU,65.99,57.53,23.12,92,88,7.74
343,Mahebourg,MU,-20.41,57.7,75.2,94,75,6.93
344,Itoman,JP,26.12,127.67,77.0,94,75,13.87
345,Lotofaga,WS,-13.98,-171.86,83.06,100,32,9.98
346,Kavaratti,IN,10.57,72.64,84.72,97,20,7.96
347,Porto Torres,IT,40.84,8.4,48.05,85,0,2.93
348,Kalmunai,LK,7.42,81.82,71.09,98,0,2.59
349,San Policarpo,PH,12.18,125.51,80.95,99,92,8.75
350,Middelburg,ZA,-25.78,29.46,40.58,56,0,2.59
351,Nata,BW,-20.22,26.18,54.8,28,0,7.07
352,Agadir,MA,30.42,-9.6,59.0,87,40,3.36
353,Arlit,NE,18.74,7.39,68.3,39,20,6.4
354,Santa Cruz,CR,10.26,-85.59,84.2,54,0,6.93
355,Khandyga,RU,62.67,135.6,-23.59,69,64,2.93
356,Waingapu,ID,-9.66,120.26,81.12,87,20,3.94
357,Tarsus,TR,36.92,34.88,57.2,66,0,2.04
358,Ponta Delgada,PT,37.73,-25.67,66.2,88,40,4.7
359,Huatulco,MX,15.84,-96.33,82.21,100,0,8.3
360,Torata,PE,-17.08,-70.84,44.81,70,0,1.81
361,Bunia,CD,1.57,30.25,65.6,99,92,2.93
362,Shirokiy,RU,49.76,129.52,-10.63,100,8,5.39
363,Nouadhibou,MR,20.93,-17.03,66.2,77,0,9.17
364,Mvuma,ZW,-19.28,30.53,55.92,94,36,8.97
365,Flinders,AU,-34.58,150.86,62.6,100,75,9.17
366,Falconara Marittima,IT,43.62,13.4,51.8,81,75,6.93
367,Ust-Tsilma,RU,65.44,52.15,21.59,77,80,5.39
368,Hermiston,US,45.84,-119.29,53.6,50,1,17.22
369,Rocha,UY,-34.48,-54.33,64.97,60,44,8.19
370,Lichinga,MZ,-13.31,35.24,66.2,82,20,17.22
371,Domoni,KM,-12.26,44.53,81.31,100,8,7.52
372,Beringovskiy,RU,63.05,179.32,34.19,98,92,20.04
373,Mazagao,BR,-0.12,-51.29,84.2,70,20,11.41
374,Prieska,ZA,-29.66,22.75,42.47,47,0,2.71
375,Batagay-Alyta,RU,67.8,130.41,-2.4,66,64,5.95
376,Caravelas,BR,-17.71,-39.25,77.52,98,12,17.13
377,Grootfontein,NA,-19.57,18.12,53.86,44,12,4.94
378,Durazno,UY,-33.41,-56.5,66.1,67,92,11.77
379,Adre,TD,13.47,22.2,76.49,53,88,4.16
380,Vanimo,PG,-2.67,141.3,83.96,100,48,9.86
381,Tengzhou,CN,35.08,117.15,31.58,56,0,14.0
382,Marsh Harbour,BS,26.54,-77.06,76.76,100,8,18.25
383,Puerto Cabezas,NI,14.04,-83.39,82.4,78,40,9.17
384,Oranjemund,NA,-28.55,16.43,60.7,95,0,12.77
385,Blairmore,CA,49.6,-114.44,33.8,64,56,23.04
386,Padang,ID,-0.95,100.35,77.66,100,44,6.06
387,Hofn,IS,64.25,-15.21,37.7,100,8,24.07
388,Kumylzhenskaya,RU,49.88,42.59,20.69,73,0,4.5
389,Sechura,PE,-5.56,-80.82,67.31,81,0,12.77
390,Burleson,US,32.54,-97.32,82.4,51,1,16.11
391,Douglas,US,31.34,-109.55,78.8,9,1,17.22
392,Kununurra,AU,-15.77,128.73,84.2,74,40,8.05
393,Mitsamiouli,KM,-11.38,43.28,80.6,88,20,4.7
394,Gazli,UZ,40.13,63.45,28.61,73,0,2.93
395,Muisne,EC,0.6,-80.03,75.59,72,12,5.17
396,Fare,PF,-16.7,-151.02,79.46,100,64,23.62
397,Bandarbeyla,SO,9.49,50.81,80.54,100,36,20.83
398,Buraydah,SA,26.33,43.98,62.6,42,0,3.36
399,Cherskiy,RU,68.75,161.3,9.08,71,68,6.17
400,Moron,CU,22.11,-78.63,77.0,78,40,14.99
401,Mana,GF,5.66,-53.78,79.6,75,0,5.06
402,Roald,NO,62.58,6.13,41.0,75,92,24.16
403,Brae,GB,60.4,-1.35,42.8,65,20,23.04
404,Nesterov,RU,54.63,22.57,36.85,92,36,12.1
405,Escarcega,MX,18.61,-90.75,79.15,58,56,1.59
406,Uniao dos Palmares,BR,-9.16,-36.03,75.2,83,40,6.93
407,Turukhansk,RU,65.82,87.98,-3.25,76,68,9.64
408,Eydhafushi,MV,5.1,73.07,82.3,100,88,6.73
409,Pallasovka,RU,50.05,46.88,17.99,68,0,2.93
410,Baker City,US,44.77,-117.83,44.6,38,40,6.93
411,Berlevag,NO,70.86,29.09,30.27,100,80,6.06
412,Oistins,BB,13.07,-59.53,80.6,88,20,8.05
413,Perth,AU,-31.93,115.83,64.4,82,90,11.41
414,Muros,ES,42.78,-9.06,48.2,87,0,6.93
415,Pisco,PE,-13.7,-76.22,66.2,82,0,17.22
416,Tinskoy,RU,56.15,96.92,17.36,78,88,5.17
417,General Roca,AR,-39.03,-67.58,60.8,41,40,9.17
418,Atlantic City,US,39.36,-74.42,42.8,52,1,5.82
419,Sundargarh,IN,22.12,84.03,68.21,96,56,7.4
420,Lebanon,US,36.21,-86.29,62.6,62,40,14.23
421,Sambava,MG,-14.27,50.17,78.42,100,44,9.19
422,Pyshchug,RU,58.89,45.71,31.4,86,92,9.75
423,Brokopondo,SR,5.07,-54.97,78.8,88,20,1.12
424,Basco,PH,20.45,121.97,82.66,97,12,13.67
425,Haines Junction,CA,60.75,-137.51,4.0,93,76,2.37
426,Nome,US,64.5,-165.41,23.0,85,75,10.29
427,Nellikkuppam,IN,11.77,79.68,72.98,100,0,4.61
428,La Plata,AR,-34.92,-57.95,73.4,45,0,8.05
429,Tommot,RU,58.96,126.29,-14.32,61,64,5.39
430,Grindavik,IS,63.84,-22.43,33.8,68,20,10.29
431,Xinyang,CN,32.12,114.07,35.36,43,0,16.69
